,ZipCode,2017.0,2018.0,2019.0,2020.0,2021.0,2017.0->2018.0,2018.0->2019.0,2019.0->2020.0,2020.0->2021.0,2017.0->2018.0PERCENT,2018.0->2019.0PERCENT,2019.0->2020.0PERCENT,2020.0->2021.0PERCENT,2018.0->2019.0PERCENT_norm,2017.0_norm,2019.0->2020.0_norm,2020.0->2021.0PERCENT_norm,2019.0_norm,2021.0_norm,2020.0->2021.0_norm,2017.0->2018.0_norm,2019.0->2020.0PERCENT_norm,2020.0_norm,2018.0->2019.0_norm,2018.0_norm,2017.0->2018.0PERCENT_norm
0,10000,9360484.0,9060206.0,9065146.0,2710022.957,3147136.0,-300278.0,4940.0,-6355123.043,437113.04300000006,-3.2079324103326283,0.05452414658121461,-70.10502691296973,16.12949594655408,0.49470059936009086,0.05909446332257041,0.9337010580219618,0.3481099244112973,0.05829026614735447,0.04615634905515823,0.05131729327710007,0.6668080359558528,0.08089699158281355,0.04588131750645915,0.529198560739624,0.058722788685523344,0.46166135764951505
1,10002,89448670.0,86450287.0,89263954.0,31159605.781,35866341.0,-2998383.0,2813667.0,-58104348.219,4706735.2190000005,-3.352071081660577,3.2546647300314917,-65.09273409398826,15.105246363129526,0.5831359148776184,0.5978091941806083,0.3666153721783412,0.32019057881753027,0.6053612126104619,0.5646680549869669,0.6029617357466006,0.11587517221086799,0.28353317485909174,0.5595206166400423,1.0,0.5919426437106446,0.45718540904208915
2,10003,115776581.0,116402794.0,115836978.0,35423084.907,40628608.0,626213.0,-565816.0,-80413893.093,5205523.093000002,0.5408805430175901,-0.4860845522316242,-69.41988170047047,14.695284463977707,0.47976097417665986,0.7749043963171554,0.12213975901305016,0.3090156971012715,0.786627365469827,0.6401372232101177,0.6674062105317341,0.8559905695725781,0.10859593413563062,0.6364950469400155,0.4335279077119374,0.798316267226802,0.5780735179910713
3,10004,12350364.0,12325132.0,12535263.0,3799369.972,4386430.0,-25232.0,210131.0,-8735893.028,587060.0279999999,-0.20430167078476388,1.704898576339791,-69.69054441059595,15.451509916813123,0.5403084030211411,0.07920594892292887,0.9076117673091461,0.3296291492385163,0.08196144329911113,0.06579583742570559,0.07069076885188766,0.7229703722776798,0.09765362479421719,0.06554879174533768,0.5635928675281712,0.08121822150963098,0.5549333206976025
4,10005,36613280.0,36139225.0,36880919.0,11146463.753,12960476.0,-474055.0,741694.0,-25734455.247,1814012.2469999995,-1.2947624468498862,2.0523240329586483,-69.77715291476333,16.274329573913246,0.5499094436859807,0.24241092228530695,0.721335716188912,0.3520578489809315,0.2480337503860847,0.2016714865497537,0.2292156558059532,0.6313240721134478,0.0941522298523085,0.19819594245005787,0.6526939533430487,0.24529799830964177,0.5210711631855759
5,10006,5075743.0,4918749.0,4569519.0,1302631.864,1561648.0,-156994.0,-349230.0,-3266887.136,259016.13599999994,-3.09302500146284,-7.09997603049068,-71.49302007497944,19.884062654865314,0.29698726020191135,0.030273070182121452,0.9675430019624132,0.4504531883779894,0.02762363930877227,0.02103061364641552,0.028306786745676816,0.696065557234245,0.0247834230183232,0.020471757756938394,0.4698322550278737,0.030188032388617884,0.46522958574524553
6,10007,27386576.0,27744787.0,26762095.0,7712532.087,8370823.0,358211.0,-982692.0,-19049562.913,658290.9129999997,1.3079802308985249,-3.541897798674756,-71.18113478410415,8.535340995333996,0.39531411893242135,0.18034731952039001,0.7945910497929266,0.14110585039758494,0.17900885137793973,0.12893778759022692,0.0798939536356164,0.8012665653735631,0.03739227235043866,0.1361984690562154,0.36365076379830374,0.18746008218990842,0.6018943201956061
7,10012,36054149.0,36528793.0,36264746.0,10668466.089,12387515.0,474644.0,-264047.0,-25596279.911,1719048.9110000003,1.3164753937195965,-0.722846221609348,-70.58171567229506,16.11336528287296,0.4732181075781866,0.23864991680842695,0.72284988871837,0.34767022926154256,0.24383056638994582,0.19259159033765458,0.2169461868966828,0.8250413132519517,0.06162549362990322,0.18956599568973728,0.4841107089326201,0.24798213288862517,0.6021581211023892
8,10013,32494760.0,32453099.0,32794193.0,10538697.767,12800042.0,-41661.0,341094.0,-22255495.233,2261344.232999999,-0.12820836344075168,1.0510367592321461,-67.86413446124439,21.45752998137003,0.5222390480684803,0.21470761791363038,0.7594593483563883,0.4933432991284437,0.22015641509258022,0.19912903764155243,0.28701191829560735,0.7196156933387703,0.1714914380665921,0.18722311036961967,0.5855450077290012,0.21990048552858743,0.5572962516855394
9,10014,7519449.0,7800960.0,7909125.0,2446274.9639999997,3106585.0,281511.0,108165.0,-5462850.036,660310.0360000003,3.74377165135371,1.3865601156780705,-69.0702199800863,26.992470009189056,0.5315111763131725,0.046710705816497944,0.9434788904129483,0.6442165881961142,0.05040454417251878,0.04551372438908701,0.08015482870504846,0.7856049989596391,0.12273200299979203,0.041119513612515014,0.5465012315109921,0.05004654799828381,0.6775331277128522
10,10017,62895720.0,62463362.0,63643530.0,20088032.956,22718881.0,-432358.0,1180168.0,-43555497.044,2630848.0439999998,-0.6874203840897282,1.889376367541664,-68.43664555375857,13.096593627472142,0.5454064139508125,0.4192002628616128,0.5260466529125306,0.26543803528494614,0.4305931586206057,0.3563160515299692,0.3347526118293883,0.6398382876905193,0.14834604994579612,0.3596303426307496,0.7261913741597582,0.4266720495243114,0.5399310002785476
