,zipcode,geometry,Zip,1718Sales,1819Sales,1920Sales,2021Sales,1718Sub,1819Sub,1920Sub,2021Sub,1718D311,1819D311,1920D311,2021D311,Cluster1,Cluster12021,Cluster11819,Cluster11718,Cluster11920
0,11372.0,"POLYGON Z ((-73.86942457284175 40.74915687096787 0, -73.89507143240856 40.74646547081214 0, -73.89618737867819 40.74850942518086 0, -73.89583954185139 40.748546875706005 0, -73.89525242774396 40.74830660945023 0, -73.89654041085561 40.750541998143575 0, -73.89579868613828 40.750619721332605 0, -73.89652230661433 40.75438879610902 0, -73.87221855882477 40.756943248067465 0, -73.87167992356791 40.75398717439602 0, -73.87207046513889 40.75386200705204 0, -73.86942457284175 40.74915687096787 0))",11372.0,-24.193548387096776,2.127659574468085,-35.416666666666664,16.129032258064516,0.0,0.0,0.0,0.0,-98.76543209876543,200.0,300.0,-50.0,0,0,0,1,0
1,11004.0,"POLYGON Z ((-73.71068374074007 40.75004039450917 0, -73.70869392379947 40.74875836557175 0, -73.70713084684175 40.749582740537946 0, -73.70419967936361 40.75016955256976 0, -73.7021852869823 40.74474188775384 0, -73.70308721830735 40.74454725735512 0, -73.70098278625547 40.73889569923034 0, -73.71371033246908 40.736174704865455 0, -73.71567895968894 40.73962914915626 0, -73.71867075939582 40.74631499057428 0, -73.71966142935703 40.748945236431474 0, -73.72082889049311 40.751173028173014 0, -73.72117809110456 40.75232189224561 0, -73.72250622247415 40.753358470814895 0, -73.72270447144122 40.75373371438336 0, -73.72183610276068 40.75486513130315 0, -73.72109289651769 40.7562813418113 0, -73.71775341502477 40.75534755942338 0, -73.71730957335735 40.75595782995615 0, -73.71534601002345 40.75550893330126 0, -73.71553103019596 40.75506458072391 0, -73.71541781535772 40.7549984440815 0, -73.71509806179287 40.75181177075926 0, -73.71132911125308 40.74947450816085 0, -73.71068374074007 40.75004039450917 0))",11004.0,-22.471910112359552,2.898550724637681,-15.492957746478874,60.0,0.0,0.0,0.0,0.0,-96.69421487603306,-25.0,2833.3333333333335,-97.72727272727273,0,3,0,1,0
2,11040.0,"POLYGON Z ((-73.70098278625547 40.73889569923034 0, -73.70308721830735 40.74454725735512 0, -73.7021852869823 40.74474188775384 0, -73.70419967936361 40.75016955256976 0, -73.70713084684175 40.749582740537946 0, -73.70869392379947 40.74875836557175 0, -73.71068374074007 40.75004039450917 0, -73.70749973637017 40.752691975668995 0, -73.70477547538239 40.755270233046005 0, -73.70093102990265 40.752817486343396 0, -73.69974445953216 40.74239262246761 0, -73.6996045181533 40.739594699565956 0, -73.70098278625547 40.73889569923034 0))",11040.0,0.0,5.0,-33.333333333333336,78.57142857142857,0.0,0.0,0.0,0.0,-96.93877551020408,833.3333333333334,460.7142857142857,-99.36305732484077,0,3,0,1,0
3,11426.0,"POLYGON Z ((-73.72270447144122 40.75373371438336 0, -73.72250622247415 40.753358470814895 0, -73.72117809110456 40.75232189224561 0, -73.72082889049311 40.751173028173014 0, -73.71966142935703 40.748945236431474 0, -73.71867075939582 40.74631499057428 0, -73.71567895968894 40.73962914915626 0, -73.714741836008 40.73782936804115 0, -73.71147803740357 40.73250141963972 0, -73.7107482581903 40.73059313121937 0, -73.71050499970065 40.72736866972774 0, -73.70905586762616 40.72664415949807 0, -73.71570591094792 40.725801511420826 0, -73.71727651695193 40.7254628718624 0, -73.72620950410881 40.72309859227402 0, -73.72684845040733 40.72249645408755 0, -73.72761998125254 40.72225436873579 0, -73.72796736491678 40.723155272416086 0, -73.72816232599695 40.72308416455733 0, -73.72836413908203 40.72361437521388 0, -73.72990511102304 40.723272516554005 0, -73.73160708050406 40.72776903839352 0, -73.73072681361487 40.73026709420813 0, -73.732819249103 40.73041874553513 0, -73.73291096372743 40.73095235983029 0, -73.73193257090016 40.73092367158476 0, -73.73116645389476 40.73268134201055 0, -73.73544649938972 40.73346163008545 0, -73.73481044382278 40.73516320022872 0, -73.73452836532343 40.735443057983424 0, -73.7337729841358 40.73889930362767 0, -73.7356758191865 40.738128079721065 0, -73.74168681424477 40.73682340115314 0, -73.7391559027536 40.73977681751699 0, -73.73793557936861 40.74062167762755 0, -73.7337734219063 40.74286441525263 0, -73.73124540301161 40.744881626424565 0, -73.7300508313049 40.74620598219407 0, -73.72912929626756 40.7476056255959 0, -73.72827633138401 40.74991386618404 0, -73.72763949821193 40.75092126949652 0, -73.72690383377657 40.75167704941076 0, -73.7242148710979 40.75333168590093 0, -73.72304547223106 40.75429983888577 0, -73.72270447144122 40.75373371438336 0))",11426.0,-0.6097560975609756,-31.288343558282207,-3.5714285714285716,64.81481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.40579710144928,2,3,0,1,0
4,11365.0,"POLYGON Z ((-73.81088634744755 40.72717187575918 0, -73.81115638093544 40.7283054434788 0, -73.81087857737191 40.73044076111908 0, -73.81039283603155 40.73832811256814 0, -73.81497231430079 40.73857247354962 0, -73.8150962962076 40.739233762735516 0, -73.81320839394928 40.738986680797105 0, -73.81035511920078 40.738871386398905 0, -73.81013261190412 40.74229508206978 0, -73.81430884374046 40.7429737987062 0, -73.81389548566275 40.74418396197773 0, -73.8136736120338 40.745555884799515 0, -73.81416170432934 40.7461386017966 0, -73.80750598164491 40.75013661137004 0, -73.80287800596291 40.74978342309386 0, -73.8028109438988 40.74908548009404 0, -73.79802487205751 40.7487118822742 0, -73.79797926874357 40.748983076885274 0, -73.79644616834038 40.74985924250121 0, -73.79481030715543 40.74864724248131 0, -73.79481559808444 40.74842181497499 0, -73.79230780156934 40.7483284193629 0, -73.79229827925938 40.74847044303219 0, -73.77980638646336 40.75189503017791 0, -73.7755961969901 40.74318890426944 0, -73.77440965013578 40.74048227369436 0, -73.77286130336375 40.73627593203528 0, -73.77952303006592 40.73428105057787 0, -73.78834468361556 40.73131879024068 0, -73.80041315910451 40.72837218185274 0, -73.81088634744755 40.72717187575918 0))",11365.0,-23.770491803278688,7.526881720430108,-15.5,31.36094674556213,0.0,0.0,0.0,0.0,-98.54014598540147,50.0,2466.6666666666665,-80.51948051948052,0,0,0,1,0
5,11373.0,"POLYGON Z ((-73.88722098467157 40.72752618766134 0, -73.88722820346595 40.72893322365565 0, -73.88751964147262 40.73007577864434 0, -73.88755961452502 40.73019707395208 0, -73.88805974921776 40.73008724345065 0, -73.88852298580434 40.73453096063918 0, -73.88938436378544 40.73585658165053 0, -73.89138531790981 40.736008503768744 0, -73.88869109732114 40.736552562299146 0, -73.89013809417283 40.73919039584173 0, -73.88974163145944 40.73911504335457 0, -73.88966322011572 40.73966174232974 0, -73.89017719133307 40.740367161130344 0, -73.89027618359668 40.740758286625166 0, -73.8903991785681 40.74074747877867 0, -73.89143129977275 40.746844660419306 0, -73.86942457284175 40.74915687096787 0, -73.86855911982133 40.747722340408345 0, -73.86747113661455 40.743213496737205 0, -73.86752276049552 40.74077114153718 0, -73.86648010456265 40.73821098897686 0, -73.86554850561377 40.738425756112804 0, -73.86492970017666 40.73689485175653 0, -73.86582282944016 40.736629809007816 0, -73.86451198956482 40.73407164841783 0, -73.86822096038215 40.73285975284032 0, -73.86786146448776 40.732697479762386 0, -73.86866558079195 40.73221533231551 0, -73.86992762206906 40.73034311103547 0, -73.8715037432334 40.729566646826726 0, -73.8714118417038 40.72915893939594 0, -73.87160566578396 40.729112059029546 0, -73.87421429612802 40.73006125209317 0, -73.8740460157219 40.73036407154951 0, -73.87450966371898 40.73061869880521 0, -73.87695206596906 40.72983334390367 0, -73.87950506985118 40.72878398756378 0, -73.88109300589315 40.72849258549084 0, -73.88520617260853 40.72810152589841 0, -73.88722098467157 40.72752618766134 0))",11373.0,5.228758169934641,-22.36024844720497,-23.2,47.916666666666664,-1.653756129604647,1.2863132802797084,-66.34595134146323,14.705571957458885,-95.0,300.0,-75.0,2200.0,1,0,0,1,0
6,11001.0,"POLYGON Z ((-73.70098278625547 40.73889569923034 0, -73.6996045181533 40.739594699565956 0, -73.69988457795381 40.7383741796718 0, -73.70085543678636 40.73587601293539 0, -73.70655433754366 40.727465005527854 0, -73.70905586762616 40.72664415949807 0, -73.71047877013949 40.7273329200212 0, -73.7107482581903 40.73059313121937 0, -73.71147803740357 40.73250141963972 0, -73.71371033246908 40.736174704865455 0, -73.70098278625547 40.73889569923034 0))",11001.0,14.285714285714286,4.166666666666667,-26.0,13.513513513513514,0.0,0.0,0.0,0.0,-93.54838709677419,0.0,8350.0,-97.63313609467455,2,0,0,1,0
7,11375.0,"POLYGON Z ((-73.8562474640478 40.7367227854824 0, -73.85204757285209 40.737682072495076 0, -73.8518276243295 40.73726308011072 0, -73.85133905665742 40.737401235090374 0, -73.85003821245904 40.73780618589446 0, -73.84557652842895 40.73985379274196 0, -73.84499322324764 40.735759248696155 0, -73.84414209694592 40.73373151627504 0, -73.84266375345989 40.73163143828195 0, -73.84047653383794 40.72965476436148 0, -73.83917827504315 40.7280441124345 0, -73.83683096310948 40.72360293637922 0, -73.8349526347774 40.72103987666236 0, -73.83265130466872 40.71851582785142 0, -73.83130160259337 40.71737570949788 0, -73.82982582052485 40.71674399877134 0, -73.82703051189961 40.715966173441835 0, -73.826059565848 40.71539860277048 0, -73.83079050446555 40.71419918262998 0, -73.83110716179297 40.71436797674794 0, -73.83161238302384 40.71421350097403 0, -73.83611475734719 40.711825159426965 0, -73.83590072158415 40.71164139044931 0, -73.83679454887908 40.71078049260416 0, -73.83755319770243 40.710714920557464 0, -73.83977727129911 40.70988060339857 0, -73.84295309927836 40.708381070038115 0, -73.84484515183327 40.70807421160143 0, -73.84899408100613 40.70788948767476 0, -73.85020974498151 40.70753151846665 0, -73.85108303705115 40.70700735736896 0, -73.8528170570701 40.70737811335201 0, -73.85618301210704 40.70631873300626 0, -73.85667371274072 40.70745383048999 0, -73.85829679390149 40.7196061063076 0, -73.85665221822215 40.719868893587744 0, -73.85726816108651 40.72150392480519 0, -73.8539545710824 40.72675259273689 0, -73.853486850262 40.72718211639958 0, -73.85177766186219 40.727697171091506 0, -73.85166931363642 40.72834581932929 0, -73.85401087192687 40.73265476104367 0, -73.85434400063964 40.73297013875461 0, -73.85470034726998 40.73282936655362 0, -73.8564480269758 40.73625356975941 0, -73.8562474640478 40.7367227854824 0))",11375.0,-8.02139037433155,-6.976744186046512,-1.25,32.91139240506329,-5.2569821381182935,3.253399852662546,-60.26350904861387,17.21579937670604,-68.57142857142857,-27.272727272727273,1287.5,-90.09009009009009,2,0,0,1,0
8,11427.0,"POLYGON Z ((-73.74168681424477 40.73682340115314 0, -73.7356758191865 40.738128079721065 0, -73.7337729841358 40.73889930362767 0, -73.73452836532343 40.735443057983424 0, -73.73481044382278 40.73516320022872 0, -73.73544649938972 40.73346163008545 0, -73.73116645389476 40.73268134201055 0, -73.73193257090016 40.73092367158476 0, -73.73291684255662 40.73088319428932 0, -73.73277501137521 40.73033327158266 0, -73.73072681361487 40.73026709420813 0, -73.73123513008417 40.72894738980239 0, -73.73306424165612 40.72935848096001 0, -73.73361727223616 40.7279335870809 0, -73.73840173923826 40.72901154584864 0, -73.7385674270549 40.72861504100692 0, -73.7473907917925 40.72319337579943 0, -73.74866938537846 40.72257644531277 0, -73.75186789084994 40.72046359745059 0, -73.75725670910693 40.71813862613275 0, -73.7604863749355 40.72224327057849 0, -73.76162389387558 40.72304674724613 0, -73.76465842000448 40.72457186267059 0, -73.76536242550831 40.72516174198194 0, -73.77010678596534 40.73177920848852 0, -73.74771800971857 40.73556432453737 0, -73.74168681424477 40.73682340115314 0))",11427.0,-4.838709677419355,22.88135593220339,-20.0,31.896551724137932,-2.3881466814855505,1.3226417241337944,-58.00815225362791,23.383427388237816,0.0,0.0,0.0,-92.0863309352518,2,0,0,1,0
9,11374.0,"POLYGON Z ((-73.86451198956482 40.73407164841783 0, -73.8587236016422 40.73579746921751 0, -73.85881661433109 40.73595128395281 0, -73.8562474640478 40.7367227854824 0, -73.8564480269758 40.73625356975941 0, -73.85470034726998 40.73282936655362 0, -73.85434400063964 40.73297013875461 0, -73.85401087192687 40.73265476104367 0, -73.85167265219735 40.7283897505072 0, -73.85177766186219 40.727697171091506 0, -73.853486850262 40.72718211639958 0, -73.8539545710824 40.72675259273689 0, -73.85726816108651 40.72150392480519 0, -73.85665221822215 40.719868893587744 0, -73.85829679390149 40.7196061063076 0, -73.85727919041909 40.711460502200886 0, -73.86207871371592 40.712201079226716 0, -73.85966108630443 40.71338939117751 0, -73.85968470106486 40.71413086701583 0, -73.85993360045074 40.71479689848398 0, -73.86412296358505 40.718844827327786 0, -73.8692926917403 40.72443594905886 0, -73.87101842164016 40.72797897402295 0, -73.8718154036568 40.7267938439977 0, -73.8732421022406 40.7279117286639 0, -73.8714118417038 40.72915893939594 0, -73.8715037432334 40.729566646826726 0, -73.8698684542429 40.730395902288244 0, -73.86866558079195 40.73221533231551 0, -73.86786146448776 40.732697479762386 0, -73.86822096038215 40.73285975284032 0, -73.86451198956482 40.73407164841783 0))",11374.0,-8.695652173913043,-13.095238095238095,-19.17808219178082,64.40677966101696,0.0,0.0,0.0,0.0,-94.02985074626865,-50.0,5200.0,-90.56603773584905,0,3,0,1,0
