,ZIP CODE,PPSQ17,Sale Price17,PPSQ18,Sale Price18,PPSQ19,Sale Price19,PPSQ20,Sale Price20,PPSQ21,Sale Price21
0,10001,1050.983933000927,335566558,736.2609135575251,1872991072,486.913853069186,1215180191,710.0735047770078,1017319470,623.3368566939424,938654299
1,10002,746.387754201208,524186627,1251.9470918840725,844686199,518.3645894201354,226211715,659.1329172601058,519715100,816.708253886051,416335000
2,10003,466.2921353471971,345397506,1084.1511583930403,931651204,628.6101614221416,643010363,1173.3634064805303,314138718,1134.3621442125236,765195328
3,10007,1449.9872087711283,79350550,706.4317381187165,993639332,258.9173695630308,288301384,358.9052997393571,3717900,1453.6983824530178,138850001
4,10009,1001.5384015932116,138801204,869.1480549144638,547941354,368.14432243426927,143926391,10.501940062636628,98690690,728.6605894420409,179370734
5,10010,1032.911594844394,196019765,675.4304060654489,683821278,324.7362734448846,631105788,318.4503814715751,280741398,441.28966139518997,594220800
6,10011,1874.0941564247141,1572121365,1946.2405824000177,3512857208,810.0551876066953,914863368,347.230818217053,316248454,579.852769987747,1663420742
7,10012,1589.0902305919442,266144010,2582.8365912255736,843928942,955.6327056422068,517787602,1811.1765130341657,554712653,1129.0296479057213,972405010
8,10013,1086.482948617035,593534770,1844.691656232945,1723809012,226.5545394144163,680262855,1341.763643390503,184004099,954.6956340338868,1080043352
9,10014,510.4308276091319,1042627957,2243.1567148475006,1364431476,128.4591125539486,780001933,255.8423225935046,616111806,158.74629420649808,764689154
10,10016,793.7184042298137,748192304,997.4950868273436,1088110533,799.0364275860354,128582540,335.79553854920135,420179950,726.7939052336314,192515350
11,10017,312.8333514749102,523068000,739.8543561396863,1605361137,439.92726100920186,2397267908,129.3562993788284,1390914475,41.25003562866096,228660910
12,10018,680.4252282809898,921169200,830.3438459037241,1550070115,635.1445542966042,1536099010,1073.0197008892078,1500307949,1027.5598380966708,362018579
13,10019,416.7337827836226,893580997,1268.1169279929393,1931099871,285.67765918592755,517809612,291.85812654100556,231298149,614.108645998917,1337082174
14,10021,583.3784339897984,384170450,1781.652802005694,471863618,993.707091272137,532497819,1236.9520186508423,432946813,2306.0304986832043,732895695
15,10022,1414.1298299845441,599287010,1221.9757706241628,2584724372,999.8354933043748,2572450745,93.93286959706728,297488216,285.9091922481352,508862324
16,10023,413.778938352609,398560149,2089.639023243811,2267300133,589.6013337948064,342410385,825.282421788652,141871000,1458.4887252328185,527783315
17,10024,113.99255074557644,253899826,1131.2971546135632,1165733840,147.15381308430747,295742523,449.58308352361394,211465000,914.8331496934594,718190679
18,10025,409.8957980431847,491460553,717.9874082375591,1609971167,550.643753863712,393702575,521.4407135106406,470933966,693.8810162616168,640090666
19,10026,518.2194475022278,148291086,468.2249365351555,431964661,291.2415726059172,49721635,275.1600771456123,61633656,411.68197971804045,175617769
20,10027,489.23412758626324,209572734,542.8025501136849,358574279,915.7120649172034,579919535,383.6645174478361,200827657,274.3168821048646,499875310
21,10028,1214.5680028864253,356826719,1592.523896532673,478492915,1749.2391827037302,552191079,727.5090479884665,218502250,1186.2154013682598,393249385
22,10029,272.42744937504636,121119337,508.80457747206214,246317384,647.0689504589884,1323212003,309.5343912332623,59825569,640.5533032299616,354073525
23,10030,638.9039506917703,108012463,929.1240042651948,281447456,587.7948848413388,313067197,388.77661009067657,125409615,732.2609231012616,277720939
24,10031,367.0765392236002,225096840,390.2497731136909,346584726,378.4820185344184,162220421,302.0788377411779,98400671,407.8235480670711,200606772
25,10032,413.4458893556501,125583362,310.7454334304616,265437817,184.01133219848452,67777078,17.743333838444535,3395666,236.9525264411616,132697443
26,10033,450.9925206897038,319884485,447.1761294285646,112107950,342.8047053145925,142066840,124.53574837949323,42267433,239.85202882355208,93366000
27,10034,336.30165962490224,98461391,381.0810246756967,55874862,270.05898492901923,20374060,625.8571898496241,26636482,521.985234184005,375144002
28,10035,442.58569488323735,120897151,721.7011250572165,119828368,178.20239397134304,235953513,210.0111008731517,71795445,82.06698953265973,79508387
29,10036,910.1667612696477,561219747,1022.980705413549,2170812114,954.868281796621,572914285,682.5435707491337,223158303,521.3703048916562,1140103386
30,10037,640.3241301532935,15330000,427.71076925513046,54021581,627.4288755858913,201863947,521.971905645375,15755200,427.20731009830206,47804498
31,10038,31.228152645684606,85583719,1094.7915831004439,166490430,937.0292313298546,249425000,1026.317385240434,33850000,675.019406294235,266094000
32,10039,783.4114005533186,57200000,735.3390477895648,49284629,698.7216659383254,147097680,446.4115932436389,105214302,120.8972989184427,6449750
33,10040,271.53060622159256,64400000,322.3214724056767,60663802,274.67022048640933,78345011,404.65032444124006,22450000,198.56649524235422,31970000
34,10065,1231.2706368082092,368603028,1974.0123203188232,834126802,347.80572423446233,657243260,551.1305686639536,203680222,519.1285616374664,904376982
35,10075,713.0975559042021,150900000,1331.4647189126042,384086296,166.09983702438723,264168835,109.52556534872988,135747300,195.83106028952201,179975011
36,10128,1043.0998348004043,211525000,1420.9808985876657,818379845,476.6409210674474,211652401,692.2422161774075,205369575,1027.434372401882,671034855
37,10301,275.6153648792288,180470736,282.3350103295967,225767497,311.2021454334974,246242432,288.9798126940931,177548041,312.2565482724576,282750178
38,10302,230.48716258968756,96531481,245.90855785304956,107235558,251.06197046776515,107388243,294.6106120212939,74213297,364.541457977034,143238546
39,10303,181.598195306697,99015508,226.81055695932668,151070120,260.043213451285,117199656,274.5258313421486,76173506,287.82990366766813,137382940
40,10304,304.78520272993757,244235660,292.8283751504983,242242859,331.2528946988665,222660577,348.7381389368813,181461357,362.04346918706665,319198883
41,10305,327.2496025354057,250296204,328.7760271908072,355585082,336.11824182761876,240643183,331.6152279581229,216404139,345.41647582390436,350980099
42,10306,327.6562950352769,383785129,347.6409681209716,407105651,382.53609211708334,392614388,383.98191002765014,387590956,411.5258445604587,527429218
43,10307,270.58439890063966,122375312,306.1996995430551,146752330,307.5259597482553,107694361,317.0149181601273,125291587,319.7246230100268,219191052
44,10308,316.43089670715227,202744237,337.82578352648943,219234407,373.5717606645566,172913293,385.16260407804634,220932351,396.58358928857433,279800430
45,10309,214.7540577593612,278514108,323.24904097938327,366385979,330.6277203772465,253952507,424.1737923375902,367453697,450.4743497826138,597527647
46,10310,244.48021567172833,132809721,263.1178127269471,133690950,282.12765135467544,151167099,288.9791800917091,116147379,331.9046705133348,161350477
47,10312,306.3320507257649,449010492,328.11508983110184,526738247,326.11525255577413,445736610,350.034533901733,454314372,372.4905444887565,664360353
48,10314,150.50429442519672,526327364,330.16169610245055,597400846,352.2910798588073,461395275,393.65807702081923,506536775,347.9850963032646,708756209
49,10451,243.62140676089192,297438350,393.7708392781331,113156351,569.3820659498914,370068735,235.65344545371522,201267366,820.6106315761838,281312710
50,10452,160.93077896483445,207167962,192.9631797495574,208186045,228.94676729552356,155833304,253.44497528104293,126522773,140.32467264158143,119541887
51,10453,249.0482753027243,153534526,260.0353744203751,330638099,184.85930311283448,48055285,227.02635437606637,134392791,256.82198768471795,228225373
52,10454,232.7756664903493,108697158,187.8746071711488,50516288,289.96789516511194,153587585,847.2956042740087,597268839,361.74396667089553,176785000
53,10455,110.55505001710847,109854131,423.0784792707993,146348346,250.66344966133215,92333135,188.32023100046675,125481348,239.53777580021344,76983369
54,10456,188.00650716838913,178987271,204.3879493196344,174026937,366.7891192117583,247032105,276.97017664510247,138543806,268.14623306714367,253650784
55,10457,193.92505765483378,195254220,195.60535120922304,203091168,230.26244893315177,129522167,202.91693035652435,172823335,233.5756709985953,117562606
56,10458,293.71516473672506,187547119,213.1218899424043,316413332,321.13417525980856,231170684,275.09818162410744,123708076,234.60948446219012,231743495
57,10459,150.35443917475513,78336016,260.3870550535669,103684563,398.32719927845096,209335283,388.88867684478373,157112581,178.51261790303775,100893368
58,10460,195.15449312210538,152284125,205.76522245757715,174466686,208.0656974789916,111419181,185.4212592814286,78062721,274.65305060451203,88141657
59,10461,247.10106469204194,157006781,289.1423641502711,334307558,296.25655673446744,209357991,301.5009485542082,210100936,185.71993432782827,265717496
60,10462,231.70919269118255,151285249,212.26914990128884,168699421,253.64146144476695,212612165,277.0943391379625,107869224,324.19586921359576,227694430
61,10463,199.75187113153393,312203785,225.92252741442508,177325914,228.5187265519858,118350077,354.67102556970656,90534390,373.68442989917804,166935298
62,10464,258.64213839968914,32618136,316.21682136023037,35363792,345.1327178611452,32337210,311.11562386290785,35910832,339.7451994457092,41189349
63,10465,304.12138081279136,292877101,282.81792453796663,220851386,291.7499423600688,196136776,314.1665886007927,184450660,344.5457081694494,306771784
64,10466,200.80095735135922,213731535,224.09844606098443,219679897,245.17305897137658,230599482,278.2091932512561,190586095,274.1706286417669,232536722
65,10467,155.18419196943893,202463539,205.83586901160953,251374585,260.445397915951,227446966,186.9369250857091,133862728,333.99321081906425,306238375
66,10468,203.20710723509282,127781506,231.90415083782432,125996308,228.1470101585347,106723521,379.39139868475684,113306000,260.85511037193834,172529570
67,10469,225.3919481577812,225138833,253.25456317115666,291872845,256.8687359471952,266185365,278.5513293390409,228598998,305.72316025584286,262509803
68,10470,208.9833933495286,53508526,219.74366704145004,58241301,374.23891337929996,119192100,334.45090016684884,85993681,366.92402262109664,119382400
69,10471,107.06851978764637,97955811,363.0880340913082,93042398,144.59389336760526,74254748,354.10734799600107,77924863,508.31018338924,133654063
70,10472,175.25449289156646,113422780,223.60615127093433,157095396,174.24421169726432,175747765,172.4633201766255,104517601,260.74168698871034,214696791
71,10473,109.63154654740254,238461331,230.33496148670886,110582433,237.44870207735093,232276357,251.5106769750472,68348781,176.91834540226552,207473559
72,10474,272.0055333684753,91334290,116.95901903590782,60587228,21.3319979602615,424268353,2.983891226610937,154151297,19.348579824050482,424475684
73,10475,284.60747629926783,15821045,242.8443377671586,33337185,261.03105385646114,11104000,263.8718262302927,9925011,369.3326062588991,12191300
